user_id,query_type,timestamp,latency_sec,retrieval_score,error_flag,rolling_score,degradation_flag,latency_anomaly,health_score
user_57,support,2025-01-01 00:00:00,1.448,0.729,0,,0,0,0.7387498944405348
user_140,finance,2025-01-01 00:02:00,1.083,0.715,0,,0,0,0.7716790992258973
user_114,finance,2025-01-01 00:04:00,1.99,0.865,0,,0,0,0.7359366643209009
user_52,sales,2025-01-01 00:06:00,0.965,0.831,0,,0,0,0.8305351161154118
user_44,sales,2025-01-01 00:08:00,1.321,0.463,0,,0,0,0.6457559465165377
user_216,support,2025-01-01 00:10:00,0.694,0.797,0,,0,0,0.8455417311752287
user_15,support,2025-01-01 00:12:00,1.933,0.716,0,,0,0,0.6823535538353271
user_111,finance,2025-01-01 00:14:00,0.928,0.767,0,,0,0,0.8088408163265306
user_258,sales,2025-01-01 00:16:00,0.9,0.706,0,,0,0,0.7873964813511611
user_13,sales,2025-01-01 00:18:00,1.193,0.591,0,,0,0,0.7104675580577058
user_101,sales,2025-01-01 00:20:00,1.611,0.567,0,,0,0,0.6567437016185784
user_214,finance,2025-01-01 00:22:00,0.536,0.78,0,,0,0,0.8554201266713584
user_229,sales,2025-01-01 00:24:00,1.569,0.776,0,,0,0,0.7447771991555243
user_142,support,2025-01-01 00:26:00,1.142,0.705,0,,0,0,0.76145109078114
user_81,engineering,2025-01-01 00:28:00,0.97,0.909,0,,0,0,0.8612073187895848
user_174,hr,2025-01-01 00:30:00,1.362,0.692,0,,0,0,0.7330280084447571
user_79,finance,2025-01-01 00:32:00,0.862,0.842,0,,0,0,0.8458077410274454
user_172,support,2025-01-01 00:34:00,1.715,0.89,0,,0,0,0.7749655172413794
user_47,engineering,2025-01-01 00:36:00,0.78,0.704,0,,0,0,0.7992636171710064
user_49,hr,2025-01-01 00:38:00,0.96,0.722,0,,0,0,0.7874629134412385
user_176,sales,2025-01-01 00:40:00,1.606,0.953,0,,0,0,0.8116714989444054
user_135,support,2025-01-01 00:42:00,1.381,0.653,0,,0,0,0.7154223786066152
user_235,sales,2025-01-01 00:44:00,1.182,0.985,0,,0,0,0.869228712174525
user_63,engineering,2025-01-01 00:46:00,1.244,0.705,0,,0,0,0.7506840253342717
user_40,sales,2025-01-01 00:48:00,1.09,0.804,0,,0,0,0.8065401829697396
user_150,sales,2025-01-01 00:50:00,0.796,0.675,0,,0,0,0.7859746657283604
user_185,sales,2025-01-01 00:52:00,1.658,0.799,0,,0,0,0.7445824067558058
user_98,support,2025-01-01 00:54:00,1.249,0.895,0,,0,0,0.8261562280084449
user_23,finance,2025-01-01 00:56:00,0.849,0.701,0,,0,0,0.7907800140745953
user_148,support,2025-01-01 00:58:00,1.348,0.789,0,,0,0,0.7733058409570726
user_119,support,2025-01-01 01:00:00,0.492,0.687,0,,0,0,0.8228647431386349
user_194,hr,2025-01-01 01:02:00,1.119,0.811,0,,0,0,0.8062789584799437
user_232,hr,2025-01-01 01:04:00,1.329,0.739,0,,0,0,0.7553114707952147
user_83,hr,2025-01-01 01:06:00,0.241,0.746,0,,0,0,0.8729601688951443
user_181,finance,2025-01-01 01:08:00,1.23,1.0,0,,0,0,0.8701618578465868
user_136,support,2025-01-01 01:10:00,1.104,0.795,0,,0,0,0.8014623504574243
user_87,sales,2025-01-01 01:12:00,1.771,0.863,0,,0,0,0.7582541871921182
user_125,finance,2025-01-01 01:14:00,1.901,0.54,0,,0,0,0.6153314567206193
user_236,engineering,2025-01-01 01:16:00,0.705,0.665,0,,0,0,0.7915805770584097
user_138,sales,2025-01-01 01:18:00,0.425,0.76,0,,0,0,0.8591372273047151
user_112,hr,2025-01-01 01:20:00,0.74,0.982,0,,0,0,0.9146859957776214
user_28,finance,2025-01-01 01:22:00,0.808,0.702,0,,0,0,0.7955079521463757
user_16,hr,2025-01-01 01:24:00,1.607,0.565,0,,0,0,0.6563659394792399
user_205,hr,2025-01-01 01:26:00,0.396,0.778,0,,0,0,0.869398451794511
user_33,finance,2025-01-01 01:28:00,1.33,0.867,0,,0,0,0.8064059113300492
user_290,hr,2025-01-01 01:30:00,1.461,0.795,0,,0,0,0.7637776213933849
user_108,engineering,2025-01-01 01:32:00,0.86,0.785,0,,0,0,0.8232188599577763
user_202,engineering,2025-01-01 01:34:00,1.347,0.643,0,,0,0,0.7150114004222379
user_73,hr,2025-01-01 01:36:00,2.133,0.821,0,,0,0,0.703241660802252
user_71,finance,2025-01-01 01:38:00,0.713,0.868,0,0.76276,0,0,0.8719361013370865
user_287,sales,2025-01-01 01:40:00,1.682,0.812,0,0.7644200000000001,0,0,0.7472489795918367
user_134,sales,2025-01-01 01:42:00,1.077,0.637,0,0.76286,0,0,0.7411124560168896
user_219,sales,2025-01-01 01:44:00,1.161,0.801,0,0.76158,0,0,0.7978454609429979
user_204,hr,2025-01-01 01:46:00,1.207,0.968,0,0.76432,0,0,0.8597897255453906
user_112,finance,2025-01-01 01:48:00,1.513,0.621,1,0.7674799999999999,0,0,0.38868852920478536
user_260,engineering,2025-01-01 01:50:00,0.665,0.822,0,0.76798,0,0,0.8586029556650245
user_46,support,2025-01-01 01:52:00,1.088,0.857,0,0.7707999999999999,0,0,0.8279513019000704
user_56,finance,2025-01-01 01:54:00,1.437,0.739,0,0.77024,0,0,0.7439110485573539
user_81,engineering,2025-01-01 01:56:00,0.777,0.523,0,0.76658,0,0,0.7271802955665025
user_32,engineering,2025-01-01 01:58:00,1.307,0.563,0,0.76602,0,0,0.687233779028853
user_195,sales,2025-01-01 02:00:00,0.758,0.773,0,0.7701399999999999,0,0,0.8291859254046448
user_239,sales,2025-01-01 02:02:00,1.229,0.579,0,0.7661199999999999,0,0,0.7018674173117523
user_128,sales,2025-01-01 02:04:00,1.742,0.908,0,0.76876,0,0,0.7793154116819141
user_5,support,2025-01-01 02:06:00,1.458,0.827,0,0.7711999999999999,0,0,0.776894299788881
user_274,hr,2025-01-01 02:08:00,1.458,1.0,0,0.7730199999999999,0,0,0.8460942997888812
user_174,support,2025-01-01 02:10:00,1.677,0.848,0,0.7761399999999999,0,0,0.7621767769176636
user_150,engineering,2025-01-01 02:12:00,0.814,0.714,0,0.77358,0,0,0.7996745953553837
user_80,engineering,2025-01-01 02:14:00,2.357,0.47,0,0.76518,0,0,0.5391963406052076
user_1,hr,2025-01-01 02:16:00,0.964,0.913,0,0.7693599999999999,0,0,0.863440675580577
user_256,finance,2025-01-01 02:18:00,0.842,0.852,0,0.77196,0,0,0.851918930330753
user_259,support,2025-01-01 02:20:00,1.223,0.652,0,0.7659400000000001,0,0,0.7317007741027446
user_152,sales,2025-01-01 02:22:00,0.187,0.778,0,0.7684400000000001,0,0,0.8914603800140746
user_101,finance,2025-01-01 02:24:00,0.804,0.733,0,0.7634000000000001,0,0,0.8083301900070372
user_191,finance,2025-01-01 02:26:00,1.452,0.88,0,0.7669,0,0,0.7987276565798733
user_276,sales,2025-01-01 02:28:00,0.963,0.652,0,0.7638600000000001,0,0,0.7591462350457425
user_0,sales,2025-01-01 02:30:00,0.57,0.888,0,0.76812,0,0,0.8950311048557353
user_165,engineering,2025-01-01 02:32:00,2.261,0.905,0,0.77024,0,0,0.7233300492610838
user_9,support,2025-01-01 02:34:00,1.833,0.644,0,0.76522,0,0,0.6641095003518649
user_185,hr,2025-01-01 02:36:00,1.422,0.866,0,0.7685200000000001,0,0,0.7962944405348347
user_122,support,2025-01-01 02:38:00,0.421,0.596,0,0.7646600000000001,0,0,0.7939594651653765
user_123,sales,2025-01-01 02:40:00,2.016,0.535,0,0.7616200000000001,0,0,0.6011921182266009
user_40,support,2025-01-01 02:42:00,1.921,0.535,0,0.7561000000000001,0,0,0.6112202674173117
user_248,support,2025-01-01 02:44:00,0.709,0.819,0,0.7576999999999999,0,0,0.852758339197748
user_272,finance,2025-01-01 02:46:00,1.235,0.692,0,0.75662,0,0,0.74643406052076
user_65,engineering,2025-01-01 02:48:00,1.993,0.564,0,0.7478999999999999,0,0,0.6152199859254046
user_281,finance,2025-01-01 02:50:00,1.124,0.838,0,0.7487600000000001,0,0,0.8165511611541167
user_135,sales,2025-01-01 02:52:00,1.34,0.657,0,0.74464,0,0,0.7213503166783954
user_216,finance,2025-01-01 02:54:00,0.905,0.877,0,0.75138,0,0,0.8552686840253343
user_276,finance,2025-01-01 02:56:00,1.65,0.796,0,0.7539999999999999,0,0,0.7442268824771288
user_159,engineering,2025-01-01 02:58:00,0.786,0.666,0,0.75212,0,0,0.7834302603800141
